,clip_id,t1,t2,x1,x2,y1,y2,result_size,frame_count,fps,width,height
0,1.1.11,60,61,0.27188392480214435,0.2879734436670939,0.6214690208435059,0.6430760423342387,0,604,30,3840,2160
1,1.1.11,270,271,0.5905914505322774,0.6456904808680216,0.0035818566878636675,0.1521963576475779,0,604,30,3840,2160
2,1.1.11,390,391,0.681588248660167,1.0,0.2855628927548726,0.9716903169949849,0,604,30,3840,2160
3,1.1.11,450,511,0.6172352631886799,0.9990624785423279,0.3006298939387003,0.9487492243448894,0,604,30,3840,2160
4,1.1.11,570,601,0.447638601064682,0.9971077243487041,0.3339967558470865,0.9282230337460835,0,604,30,3840,2160
5,1.1.5,150,211,0.33377288033564884,0.8540642062822977,0.0,0.28922414779663086,0,1560,30,3840,2160
6,1.1.5,270,271,0.3392979341248671,0.3787373900413513,0.1895097295443217,0.32972011963526404,0,1560,30,3840,2160
7,1.1.5,330,331,0.3103446364402771,0.4658445119857788,0.06901354591051737,0.41342738767464954,0,1560,30,3840,2160
8,1.1.5,420,631,0.23068584998448688,0.6178125739097595,0.19514824946721393,0.997887949148814,0,1560,30,3840,2160
9,1.1.5,720,751,0.7256607711315155,0.9798561930656433,0.6373624006907145,0.7864830791950226,0,1560,30,3840,2160
10,1.1.5,960,1231,0.20253137747446695,1.0,0.00113039657784005,1.0,0,1560,30,3840,2160
11,1.1.5,1500,1501,0.23808002471923828,0.31919588645299274,0.3333333333333333,0.46159907182057697,0,1560,30,3840,2160
12,1.1.4,90,301,0.18816155195236206,0.973758300145467,0.00012378162743213275,0.9899300932884216,0,1950,30,3840,2160
13,1.1.4,600,781,0.2817233403523763,0.4952114621798197,0.3336948617361486,0.9990774194399517,0,1950,30,3840,2160
14,1.1.4,840,931,0.3358908419807752,0.992846926053365,0.0,1.0,0,1950,30,3840,2160
15,1.1.4,1050,1051,0.7966445088386536,0.9997501770655315,0.1620718439420064,0.5757057070732117,0,1950,30,3840,2160
16,1.1.4,1140,1261,0.4299873113632202,0.8599520325660706,0.0,0.5168024500211079,0,1950,30,3840,2160
17,1.1.4,1320,1471,0.42584776878356934,0.979593316713969,0.5678871870040894,1.0,0,1950,30,3840,2160
18,1.1.4,1590,1651,0.42102429270744324,0.5578817923863728,0.5955863793690999,0.9995363354682922,0,1950,30,3840,2160
19,1.1.4,1740,1801,0.39832406242688495,0.5816708207130432,4.885249654762447e-05,0.2581747770309448,0,1950,30,3840,2160
20,1.1.3,0,31,0.21738708019256592,0.6483996113141377,0.0,0.13282284140586853,0,1966,30,3840,2160
21,1.1.3,120,511,0.08603070179621378,0.9998167355855305,0.19014706214269,0.7449303964773814,0,1966,30,3840,2160
22,1.1.3,690,721,0.434489627679189,0.8746836185455322,0.2816286484400431,0.9065268437067667,0,1966,30,3840,2160
23,1.1.3,960,1081,0.5483981966972351,0.6997669339179993,0.0003383085519696275,0.8592520952224731,0,1966,30,3840,2160
24,1.1.3,1140,1141,0.0038203547398249307,0.26582690080006915,0.6722944515446821,0.7743496596813202,0,1966,30,3840,2160
25,1.1.3,1410,1411,0.5926460027694702,0.6340936819712321,0.8105161190032959,0.8812000552813212,0,1966,30,3840,2160
